Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Almost Tidy - 16psi 93oct.ptm]
0.50,0.40,-1.00,3.10,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
0.55,0.40,-1.00,3.10,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
0.60,0.40,-1.00,3.10,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
0.65,0.40,-1.00,3.10,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
0.70,0.40,-1.00,3.10,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
0.75,0.40,-1.00,3.10,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
0.80,0.40,-1.00,3.10,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
0.85,0.40,-1.00,3.10,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
0.90,0.40,-1.00,3.10,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
0.95,0.40,-1.00,3.10,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
1.00,0.40,-1.00,3.10,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
1.05,0.40,-1.00,3.10,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
1.10,0.40,-1.00,3.10,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
1.20,0.40,-1.00,3.10,13.35,100.0,1.93,0.652,12.80,190.0,1.00,0.00,0.00,2100,2,5.5,14.0,82.0,88.0,202.0,3600.0,1.93,98.0,24.0,0,
1.25,0.40,-1.00,3.10,13.36,100.0,1.93,0.664,12.80,190.0,1.00,0.00,0.00,2104,2,5.7,14.1,82.0,88.0,202.0,3653.7,1.93,98.0,24.6,0,
1.30,0.40,-1.00,3.10,13.37,100.0,1.93,0.675,12.80,190.0,1.00,0.00,0.00,2107,2,5.8,14.2,82.0,88.0,202.0,3707.4,1.93,98.0,25.1,0,
1.35,0.40,-1.00,3.10,13.38,100.0,2.67,0.726,12.80,190.0,1.00,0.00,0.00,2147,2,5.9,14.3,82.0,88.7,202.0,3761.1,2.67,98.0,25.7,0,
1.40,0.40,-1.00,3.10,13.38,100.0,3.55,0.785,12.80,190.0,1.00,0.00,0.00,2194,2,6.0,14.4,82.0,89.6,202.0,3814.8,3.55,98.0,26.2,0,
1.45,0.40,-1.00,3.10,13.38,100.0,4.44,0.844,12.80,190.0,1.00,0.00,0.00,2241,2,6.1,14.4,82.0,90.5,202.0,3868.5,4.44,98.0,26.8,0,
1.50,0.40,-1.00,3.10,13.37,100.0,5.33,0.903,12.80,190.0,1.00,0.00,0.00,2288,2,6.2,14.6,82.0,91.3,202.0,3922.2,5.33,98.0,27.3,0,
1.55,0.40,-1.00,3.10,13.36,100.0,6.22,0.962,12.80,190.0,1.00,0.00,0.00,2335,2,6.3,14.9,82.0,92.2,202.0,3975.9,6.22,98.0,27.9,0,
1.60,0.40,-1.00,3.10,13.35,100.0,7.12,1.020,12.80,190.0,1.00,0.00,0.00,2382,2,6.4,15.3,82.0,93.0,202.0,4029.6,7.12,98.0,28.4,0,
1.65,0.40,-1.00,3.10,13.33,100.0,8.01,1.076,12.80,190.0,1.00,0.00,0.00,2429,2,6.5,15.7,82.0,93.9,202.0,4083.3,16.00,98.0,29.0,0,
1.70,0.40,-1.00,3.10,13.33,100.0,8.89,1.132,12.80,190.0,1.00,0.00,0.00,2476,2,6.6,16.2,82.0,94.8,202.0,4137.0,16.00,98.0,29.6,0,
1.75,0.40,-1.00,3.10,13.32,100.0,9.78,1.188,12.80,190.0,1.00,0.00,0.00,2523,2,6.7,16.7,82.0,95.6,202.0,4190.7,16.00,98.0,30.1,0,
1.80,0.40,-1.00,3.10,11.00,100.0,10.65,1.242,11.00,190.0,1.00,0.00,0.00,2570,2,6.8,17.2,82.0,96.5,202.0,4244.4,16.00,98.0,30.7,0,
1.85,0.40,-1.00,3.10,11.00,100.0,11.52,1.296,11.00,190.0,1.00,0.00,0.00,2617,2,6.9,17.9,82.0,97.4,202.0,4298.1,16.00,98.0,31.2,0,
1.90,0.40,-1.00,3.10,11.00,100.0,12.38,1.350,10.99,190.0,1.00,0.00,0.00,2663,2,7.0,18.5,82.0,98.2,202.0,4351.9,16.00,98.0,31.8,0,
1.95,0.40,-1.00,3.10,11.01,100.0,13.23,1.404,10.99,190.0,1.00,0.00,0.00,2710,2,7.0,19.3,82.0,99.1,202.0,4405.6,16.00,98.0,32.3,0,
2.00,0.40,-1.00,3.10,11.01,100.0,14.07,1.458,10.98,190.0,1.00,0.00,0.00,2757,2,7.1,20.1,82.0,100.0,202.0,4459.3,16.00,98.0,32.9,0,
2.05,0.40,-1.00,3.10,11.02,100.0,14.91,1.514,10.98,190.0,1.00,0.00,0.00,2804,2,7.2,20.9,82.0,100.8,202.0,4513.0,16.00,98.0,33.4,0,
2.10,0.40,-1.00,3.10,11.02,100.0,15.74,1.571,10.98,190.0,1.00,0.00,0.00,2851,2,7.3,21.8,82.0,101.7,202.0,4566.7,16.00,98.0,34.0,0,
2.15,0.40,-1.00,3.10,11.02,100.0,16.00,1.592,10.97,190.0,1.00,0.00,0.00,2870,2,7.5,22.4,82.0,102.0,202.0,4620.4,16.00,98.0,34.6,0,
2.20,0.40,-1.00,3.10,11.02,100.0,15.95,1.594,10.97,190.0,1.00,0.00,0.00,2874,2,7.6,22.9,82.0,102.0,202.0,4674.1,16.00,98.0,35.1,0,
2.25,0.40,-1.00,3.10,11.01,100.0,15.91,1.598,10.97,190.0,1.00,0.00,0.00,2878,2,7.8,23.3,82.0,102.0,202.0,4727.8,16.00,98.0,35.7,0,
2.30,0.40,-1.00,3.10,11.00,100.0,15.87,1.604,10.97,190.0,1.00,0.00,0.00,2881,2,8.0,23.8,82.0,102.0,202.0,4781.5,16.00,98.0,36.2,0,
2.35,0.40,-1.00,3.10,10.99,100.0,15.84,1.612,10.96,190.0,1.00,0.00,0.00,2885,2,8.1,24.2,82.0,102.0,202.0,4835.2,16.00,98.0,36.8,0,
2.40,0.40,-1.00,3.10,10.97,100.0,15.81,1.622,10.96,190.0,1.00,0.00,0.00,2889,2,8.3,24.7,82.0,102.0,202.0,4888.9,16.00,98.0,37.3,0,
2.45,0.40,-1.00,3.10,10.96,100.0,15.79,1.636,10.96,190.0,1.00,0.00,0.00,2893,2,8.5,25.1,82.0,102.0,202.0,4942.6,16.00,98.0,37.9,0,
2.50,0.40,-1.00,3.10,10.95,100.0,15.77,1.651,10.96,190.0,1.00,0.00,0.00,2896,2,8.6,25.6,82.0,102.0,202.0,4996.3,16.00,98.0,38.4,0,
2.55,0.40,-1.00,3.10,10.95,100.0,15.77,1.669,10.96,190.0,1.00,0.00,0.00,2900,2,8.8,26.0,82.0,102.0,202.0,5050.0,16.00,98.0,39.0,0,
2.60,0.40,-1.00,3.10,10.95,100.0,15.77,1.689,10.96,190.0,1.00,0.00,0.00,2904,2,9.0,26.4,82.0,102.0,202.0,5103.7,16.00,98.0,39.6,0,
2.65,0.40,-1.00,3.10,10.96,100.0,15.79,1.711,10.96,190.0,1.00,0.00,0.00,2907,2,9.1,26.9,82.0,102.0,202.0,5157.4,16.00,98.0,40.1,0,
2.70,0.40,-1.00,3.10,10.97,100.0,15.81,1.734,10.96,190.0,1.00,0.00,0.00,2911,2,9.3,27.3,82.0,102.0,202.0,5211.1,16.00,98.0,40.7,0,
2.75,0.40,-1.00,3.10,10.99,100.0,15.84,1.758,10.96,190.0,1.00,0.00,0.00,2915,2,9.5,27.8,82.0,102.0,202.0,5264.8,16.00,98.0,41.2,0,
2.80,0.40,-1.00,3.10,11.00,100.0,15.87,1.783,10.97,190.0,1.00,0.00,0.00,2919,2,9.6,28.2,82.0,102.0,202.0,5318.5,16.00,98.0,41.8,0,
2.85,0.40,-1.00,3.10,11.90,100.0,15.91,1.808,10.97,190.0,1.00,0.00,0.00,2922,2,9.8,28.7,82.0,102.0,202.0,5372.2,16.00,98.0,42.3,0,
2.90,0.40,-1.00,3.10,11.90,100.0,15.95,1.832,10.97,190.0,1.00,0.00,0.00,2926,2,10.0,29.1,82.0,102.0,202.0,5425.9,16.00,98.0,42.9,0,
2.95,0.40,-1.00,3.10,11.02,100.0,16.00,1.855,10.97,190.0,1.00,0.00,0.00,2930,2,10.1,29.6,82.0,102.0,202.0,5479.6,16.00,98.0,43.4,0,
3.00,0.40,-1.00,3.10,11.02,100.0,16.05,1.877,10.98,190.0,1.00,0.00,0.00,2933,2,10.3,30.0,82.0,102.0,202.0,5533.3,16.00,98.0,44.0,0,
3.05,0.40,-1.00,3.10,11.02,100.0,16.10,1.897,10.98,190.0,1.00,0.00,0.00,2937,2,10.5,30.4,82.0,102.0,202.0,5587.0,16.00,98.0,44.6,0,
3.10,0.40,-1.00,3.10,11.01,100.0,16.15,1.915,10.98,190.0,1.00,0.00,0.00,2941,2,10.6,30.9,82.0,102.0,202.0,5640.7,16.00,98.0,45.1,0,
3.15,0.40,-1.00,3.10,11.01,100.0,16.19,1.931,10.99,190.0,1.00,0.00,0.00,2944,2,10.8,31.3,82.0,102.0,202.0,5694.4,16.00,98.0,45.7,0,
3.20,0.40,-1.00,3.10,11.00,100.0,16.23,1.944,10.99,190.0,1.00,0.00,0.00,2948,2,11.0,31.8,82.0,102.0,202.0,5748.1,16.00,98.0,46.2,0,
3.25,0.40,-1.00,3.10,11.00,100.0,16.26,1.955,11.00,190.0,1.00,0.00,0.00,2952,2,11.1,32.2,82.0,102.0,202.0,5801.9,16.00,98.0,46.8,0,
3.30,0.40,-1.00,3.10,11.00,100.0,16.29,1.964,11.00,190.0,1.00,0.00,0.00,2956,2,11.3,32.7,82.0,102.0,202.0,5855.6,16.00,98.0,47.3,0,
3.35,0.40,-1.00,3.10,11.01,100.0,16.31,1.971,11.01,190.0,1.00,0.00,0.00,2959,2,11.5,33.1,82.0,102.0,202.0,5909.3,16.00,98.0,47.9,0,
3.40,0.40,-1.00,3.10,11.02,100.0,16.33,1.976,11.01,190.0,1.00,0.00,0.00,2963,2,11.6,33.6,82.0,102.0,202.0,5963.0,16.00,98.0,48.4,0,
3.45,0.40,-1.00,3.10,11.03,100.0,16.33,1.979,11.02,190.0,1.00,0.00,0.00,2967,2,11.8,34.0,82.0,102.0,202.0,6016.7,16.00,98.0,49.0,0,
3.50,0.40,-1.00,3.10,11.05,100.0,16.33,1.981,11.03,190.0,1.00,0.00,0.00,2970,2,12.0,34.4,82.0,102.0,202.0,6070.4,16.00,98.0,49.6,0,
3.55,0.40,-1.00,3.10,11.07,100.0,16.31,1.982,11.03,190.0,1.00,0.00,0.00,2974,2,12.1,34.9,82.0,102.0,202.0,6124.1,16.00,98.0,50.1,0,
3.60,0.40,-1.00,3.10,11.09,100.0,16.29,1.982,11.04,190.0,1.00,0.00,0.00,2978,2,12.3,35.3,82.0,102.0,202.0,6177.8,16.00,98.0,50.7,0,
3.65,0.40,-1.00,3.10,11.11,100.0,16.26,1.983,11.05,190.0,1.00,0.00,0.00,2981,2,12.5,35.8,82.0,102.0,202.0,6231.5,16.00,98.0,51.2,0,
3.70,0.40,-1.00,3.10,11.12,100.0,16.23,1.984,11.05,190.0,1.00,0.00,0.00,2985,2,12.6,36.2,82.0,102.0,202.0,6285.2,16.00,98.0,51.8,0,
3.75,0.40,-1.00,3.10,11.12,100.0,16.19,1.986,11.06,190.0,1.00,0.00,0.00,2989,2,12.8,36.7,82.0,102.0,202.0,6338.9,16.00,98.0,52.3,0,
3.80,0.40,-1.00,3.10,11.13,100.0,16.15,1.989,11.07,190.0,1.00,0.00,0.00,2993,2,13.0,37.1,82.0,102.0,202.0,6392.6,16.00,98.0,52.9,0,
3.85,0.40,-1.00,3.10,11.12,100.0,16.10,1.993,11.07,190.0,1.00,0.00,0.00,2996,2,13.1,37.6,82.0,102.0,202.0,6446.3,16.00,98.0,53.4,0,
3.90,0.40,-1.00,3.10,11.12,100.0,16.05,2.000,11.08,190.0,1.00,0.00,0.00,3000,2,13.3,38.0,82.0,102.0,202.0,6500.0,16.00,98.0,54.0,0,
4.00,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4200.0,0.00,2.0,70.0,0,
4.05,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4120.0,0.00,2.0,69.0,0,
4.10,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,4040.0,0.00,2.0,68.0,0,
4.15,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3960.0,0.00,2.0,67.0,0,
4.20,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3880.0,0.00,2.0,66.0,0,
4.25,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3800.0,0.00,2.0,65.0,0,
4.30,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3720.0,0.00,2.0,64.0,0,
4.35,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3640.0,0.00,2.0,63.0,0,
4.40,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3560.0,0.00,2.0,62.0,0,
4.45,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3480.0,0.00,2.0,61.0,0,
4.50,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3400.0,0.00,2.0,60.0,0,
4.55,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3320.0,0.00,2.0,59.0,0,
4.60,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3240.0,0.00,2.0,58.0,0,
4.65,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3160.0,0.00,2.0,57.0,0,
4.70,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3080.0,0.00,2.0,56.0,0,
4.75,0.40,-1.00,3.10,18.50,0.0,-4.50,0.420,14.70,188.0,1.00,0.00,0.00,900,3,14.0,3.5,76.0,84.0,196.0,3000.0,0.00,2.0,55.0,0,
4.90,0.40,-1.00,3.10,13.35,100.0,1.93,0.652,12.80,190.0,1.00,0.00,0.00,2100,3,5.5,14.0,82.0,88.0,202.0,2800.0,1.93,98.0,34.0,0,
4.95,0.40,-1.00,3.10,13.36,100.0,1.93,0.658,12.80,190.0,1.00,0.00,0.00,2102,3,5.6,14.0,82.0,88.0,202.0,2833.3,1.93,98.0,34.5,0,
5.00,0.40,-1.00,3.10,13.36,100.0,1.93,0.665,12.80,190.0,1.00,0.00,0.00,2104,3,5.7,14.1,82.0,88.0,202.0,2866.7,1.93,98.0,35.0,0,
5.05,0.40,-1.00,3.10,13.37,100.0,1.93,0.671,12.80,190.0,1.00,0.00,0.00,2106,3,5.8,14.1,82.0,88.0,202.0,2900.0,1.93,98.0,35.5,0,
5.10,0.40,-1.00,3.10,13.37,100.0,1.95,0.678,12.80,190.0,1.00,0.00,0.00,2109,3,5.9,14.2,82.0,88.0,202.0,2933.3,1.95,98.0,35.9,0,
5.15,0.40,-1.00,3.10,13.38,100.0,2.43,0.710,12.80,190.0,1.00,0.00,0.00,2135,3,5.9,14.2,82.0,88.5,202.0,2966.7,2.43,98.0,36.4,0,
5.20,0.40,-1.00,3.10,13.38,100.0,2.91,0.742,12.80,190.0,1.00,0.00,0.00,2160,3,6.0,14.3,82.0,89.0,202.0,3000.0,2.91,98.0,36.9,0,
5.25,0.40,-1.00,3.10,13.38,100.0,3.39,0.774,12.80,190.0,1.00,0.00,0.00,2186,3,6.0,14.3,82.0,89.4,202.0,3033.3,3.39,98.0,37.4,0,
5.30,0.40,-1.00,3.10,13.38,100.0,3.87,0.807,12.80,190.0,1.00,0.00,0.00,2211,3,6.1,14.4,82.0,89.9,202.0,3066.7,3.87,98.0,37.9,0,
5.35,0.40,-1.00,3.10,13.38,100.0,4.36,0.839,12.80,190.0,1.00,0.00,0.00,2237,3,6.1,14.4,82.0,90.4,202.0,3100.0,4.36,98.0,38.4,0,
5.40,0.40,-1.00,3.10,13.37,100.0,4.84,0.871,12.80,190.0,1.00,0.00,0.00,2263,3,6.2,14.5,82.0,90.8,202.0,3133.3,4.84,98.0,38.8,0,
5.45,0.40,-1.00,3.10,13.37,100.0,5.33,0.903,12.80,190.0,1.00,0.00,0.00,2288,3,6.2,14.6,82.0,91.3,202.0,3166.7,5.33,98.0,39.3,0,
5.50,0.40,-1.00,3.10,13.36,100.0,5.82,0.935,12.80,190.0,1.00,0.00,0.00,2314,3,6.3,14.8,82.0,91.8,202.0,3200.0,5.82,98.0,39.8,0,
5.55,0.40,-1.00,3.10,13.36,100.0,6.31,0.967,12.80,190.0,1.00,0.00,0.00,2339,3,6.3,15.0,82.0,92.3,202.0,3233.3,6.31,98.0,40.3,0,
5.60,0.40,-1.00,3.10,13.35,100.0,6.79,0.999,12.80,190.0,1.00,0.00,0.00,2365,3,6.4,15.1,82.0,92.7,202.0,3266.7,6.79,98.0,40.8,0,
5.65,0.40,-1.00,3.10,13.34,100.0,7.28,1.030,12.80,190.0,1.00,0.00,0.00,2391,3,6.4,15.4,82.0,93.2,202.0,3300.0,7.28,98.0,41.3,0,
5.70,0.40,-1.00,3.10,13.34,100.0,7.77,1.061,12.80,190.0,1.00,0.00,0.00,2416,3,6.5,15.6,82.0,93.7,202.0,3333.3,7.77,98.0,41.8,0,
5.75,0.40,-1.00,3.10,13.33,100.0,8.25,1.092,12.80,190.0,1.00,0.00,0.00,2442,3,6.5,15.8,82.0,94.1,202.0,3366.7,16.00,98.0,42.2,0,
5.80,0.40,-1.00,3.10,13.33,100.0,8.73,1.122,12.80,190.0,1.00,0.00,0.00,2467,3,6.6,16.1,82.0,94.6,202.0,3400.0,16.00,98.0,42.7,0,
5.85,0.40,-1.00,3.10,13.32,100.0,9.22,1.153,12.80,190.0,1.00,0.00,0.00,2493,3,6.6,16.3,82.0,95.1,202.0,3433.3,16.00,98.0,43.2,0,
5.90,0.40,-1.00,3.10,13.32,100.0,9.70,1.183,12.80,190.0,1.00,0.00,0.00,2518,3,6.7,16.6,82.0,95.6,202.0,3466.7,16.00,98.0,43.7,0,
5.95,0.40,-1.00,3.10,11.00,100.0,10.18,1.212,11.01,190.0,1.00,0.00,0.00,2544,3,6.7,16.9,82.0,96.0,202.0,3500.0,16.00,98.0,44.2,0,
6.00,0.40,-1.00,3.10,11.00,100.0,10.65,1.242,11.00,190.0,1.00,0.00,0.00,2570,3,6.8,17.2,82.0,96.5,202.0,3533.3,16.00,98.0,44.7,0,
6.05,0.40,-1.00,3.10,11.00,100.0,11.13,1.272,11.00,190.0,1.00,0.00,0.00,2595,3,6.8,17.6,82.0,97.0,202.0,3566.7,16.00,98.0,45.2,0,
6.10,0.40,-1.00,3.10,11.00,100.0,11.60,1.301,11.00,190.0,1.00,0.00,0.00,2621,3,6.9,17.9,82.0,97.4,202.0,3600.0,16.00,98.0,45.6,0,
6.15,0.40,-1.00,3.10,11.00,100.0,12.07,1.330,10.99,190.0,1.00,0.00,0.00,2646,3,6.9,18.3,82.0,97.9,202.0,3633.3,16.00,98.0,46.1,0,
6.20,0.40,-1.00,3.10,11.00,100.0,12.54,1.360,10.99,190.0,1.00,0.00,0.00,2672,3,7.0,18.7,82.0,98.4,202.0,3666.7,16.00,98.0,46.6,0,
6.25,0.40,-1.00,3.10,11.01,100.0,13.00,1.389,10.99,190.0,1.00,0.00,0.00,2698,3,7.0,19.1,82.0,98.9,202.0,3700.0,16.00,98.0,47.1,0,
6.30,0.40,-1.00,3.10,11.01,100.0,13.46,1.419,10.99,190.0,1.00,0.00,0.00,2723,3,7.1,19.5,82.0,99.3,202.0,3733.3,16.00,98.0,47.6,0,
6.35,0.40,-1.00,3.10,11.01,100.0,13.92,1.448,10.98,190.0,1.00,0.00,0.00,2749,3,7.1,19.9,82.0,99.8,202.0,3766.7,16.00,98.0,48.1,0,
6.40,0.40,-1.00,3.10,11.02,100.0,14.38,1.478,10.98,190.0,1.00,0.00,0.00,2774,3,7.2,20.4,82.0,100.3,202.0,3800.0,16.00,98.0,48.5,0,
6.45,0.40,-1.00,3.10,11.02,100.0,14.83,1.509,10.98,190.0,1.00,0.00,0.00,2800,3,7.2,20.8,82.0,100.7,202.0,3833.3,16.00,98.0,49.0,0,
6.50,0.40,-1.00,3.10,11.02,100.0,15.29,1.540,10.98,190.0,1.00,0.00,0.00,2826,3,7.3,21.3,82.0,101.2,202.0,3866.7,16.00,98.0,49.5,0,
6.55,0.40,-1.00,3.10,11.02,100.0,15.74,1.571,10.98,190.0,1.00,0.00,0.00,2851,3,7.3,21.8,82.0,101.7,202.0,3900.0,16.00,98.0,50.0,0,
6.60,0.40,-1.00,3.10,11.03,100.0,16.02,1.592,10.97,190.0,1.00,0.00,0.00,2869,3,7.4,22.2,82.0,102.0,202.0,3933.3,16.00,98.0,50.5,0,
6.65,0.40,-1.00,3.10,11.02,100.0,16.00,1.592,10.97,190.0,1.00,0.00,0.00,2871,3,7.5,22.5,82.0,102.0,202.0,3966.7,16.00,98.0,51.0,0,
6.70,0.40,-1.00,3.10,11.02,100.0,15.97,1.593,10.97,190.0,1.00,0.00,0.00,2873,3,7.6,22.7,82.0,102.0,202.0,4000.0,16.00,98.0,51.5,0,
6.75,0.40,-1.00,3.10,11.02,100.0,15.95,1.595,10.97,190.0,1.00,0.00,0.00,2875,3,7.7,23.0,82.0,102.0,202.0,4033.3,16.00,98.0,51.9,0,
6.80,0.40,-1.00,3.10,11.01,100.0,15.92,1.597,10.97,190.0,1.00,0.00,0.00,2877,3,7.8,23.2,82.0,102.0,202.0,4066.7,16.00,98.0,52.4,0,
6.85,0.40,-1.00,3.10,11.01,100.0,15.90,1.599,10.97,190.0,1.00,0.00,0.00,2879,3,7.8,23.5,82.0,102.0,202.0,4100.0,16.00,98.0,52.9,0,
6.90,0.40,-1.00,3.10,11.00,100.0,15.88,1.602,10.97,190.0,1.00,0.00,0.00,2881,3,7.9,23.7,82.0,102.0,202.0,4133.3,16.00,98.0,53.4,0,
